1 1 1 2 0.320736
1 1 1 8 -0.218335
1 1 2 1 -0.648938
1 1 2 2 -0.439080
1 1 2 7 -0.758399
1 1 3 3 0.916045
1 1 3 4 -0.723334
1 1 3 9 0.536664
1 1 4 4 -0.217952
1 1 5 5 -0.362080
1 1 5 8 -0.530082
1 1 6 1 -0.885489
1 1 6 8 0.004749
1 1 6 10 0.761747
1 1 7 9 0.696160
1 1 7 10 -0.482185
1 1 7 11 -0.568248
1 1 8 3 -0.923045
1 1 9 7 -0.390799
1 1 9 10 0.601754
1 1 10 2 -0.792010
1 1 10 3 -0.326823
1 1 10 4 -0.687287
1 1 10 5 -0.662029
1 1 10 6 0.831464
1 1 11 3 0.243767
1 1 11 4 0.630058
1 1 11 9 -0.830260
1 1 11 11 -0.409315
1 2 1 4 -0.596966
1 2 1 8 0.619607
1 2 1 11 0.144784
1 2 2 2 0.211005
1 2 2 5 -0.533004
1 2 3 1 0.228681
1 2 3 2 -0.073342
1 2 3 4 0.791856
1 2 3 9 -0.166433
1 2 4 4 -0.843270
1 2 4 5 -0.546499
1 2 4 6 0.942317
1 2 4 8 0.709753
1 2 5 3 0.446386
1 2 5 6 0.867134
1 2 5 10 -0.412614
1 2 5 11 0.014014
1 2 6 2 -0.599455
1 2 7 5 0.015150
1 2 8 8 0.479715
1 2 9 2 -0.936229
1 2 9 3 0.510907
1 2 9 4 -0.601272
1 2 9 5 0.685217
1 2 9 6 -0.849191
1 2 10 1 -0.895414
1 2 10 4 0.843573
1 2 10 5 0.413699
1 2 10 8 -0.529434
1 2 10 11 -0.571622
1 2 11 2 0.226086
1 2 11 3 -0.221544
1 2 11 10 -0.285859
1 3 1 1 0.667185
1 3 1 2 -0.926015
1 3 1 4 0.284857
1 3 1 7 0.784176
1 3 1 10 -0.462489
1 3 2 6 -0.916906
1 3 2 7 -0.167798
1 3 2 10 0.088764
1 3 3 3 -0.850265
1 3 3 5 0.157883
1 3 3 7 0.869290
1 3 3 8 0.739392
1 3 3 10 -0.854539
1 3 4 1 0.085985
1 3 4 5 0.793132
